date,accidents,total_deaths,suicide,births,cases,covid_deaths,pandemic
2014-01-01,60.0,1798.0,38.0,3307.0,,,False
2014-02-01,62.0,1513.0,19.0,3140.0,,,False
2014-03-01,78.0,1668.0,22.0,3392.0,,,False
2014-04-01,60.0,1589.0,21.0,3314.0,,,False
2014-05-01,58.0,1571.0,23.0,3365.0,,,False
2014-06-01,49.0,1473.0,36.0,3323.0,,,False
2014-07-01,74.0,1494.0,26.0,3647.0,,,False
2014-08-01,63.0,1520.0,26.0,3745.0,,,False
2014-09-01,70.0,1544.0,44.0,3780.0,,,False
2014-10-01,62.0,1564.0,42.0,3731.0,,,False
2014-11-01,63.0,1608.0,32.0,3373.0,,,False
2014-12-01,67.0,1756.0,27.0,3508.0,,,False
2015-01-01,62.0,1936.0,25.0,3563.0,,,False
2015-02-01,65.0,1680.0,22.0,3089.0,,,False
2015-03-01,64.0,1749.0,26.0,3416.0,,,False
2015-04-01,67.0,1641.0,25.0,3282.0,,,False
2015-05-01,74.0,1565.0,27.0,3299.0,,,False
2015-06-01,75.0,1547.0,27.0,3278.0,,,False
2015-07-01,70.0,1558.0,26.0,3682.0,,,False
2015-08-01,92.0,1564.0,13.0,3601.0,,,False
2015-09-01,69.0,1541.0,21.0,3617.0,,,False
2015-10-01,64.0,1625.0,29.0,3427.0,,,False
2015-11-01,82.0,1694.0,28.0,3245.0,,,False
2015-12-01,80.0,1841.0,23.0,3333.0,,,False
2016-01-01,86.0,1975.0,33.0,3347.0,,,False
2016-02-01,77.0,1807.0,23.0,3032.0,,,False
2016-03-01,74.0,1818.0,32.0,3381.0,,,False
2016-04-01,83.0,1668.0,29.0,3287.0,,,False
2016-05-01,80.0,1635.0,33.0,3393.0,,,False
2016-06-01,69.0,1587.0,23.0,3287.0,,,False
2016-07-01,84.0,1627.0,22.0,3487.0,,,False
2016-08-01,72.0,1564.0,18.0,3820.0,,,False
2016-09-01,50.0,1568.0,30.0,3705.0,,,False
2016-10-01,72.0,1567.0,29.0,3654.0,,,False
