accidents,total_deaths,suicide,births,cases,covid_deaths,pandemic,non_covid_deaths,sa_deaths,sa_births
60.0,1798.0,38.0,3307.0,,,False,1798.0,1447.9801024819246,3368.5725909043235
62.0,1513.0,19.0,3140.0,,,False,1513.0,1498.2413525482646,3432.566521987792
78.0,1668.0,22.0,3392.0,,,False,1668.0,1626.336345067685,3453.656174466247
60.0,1589.0,21.0,3314.0,,,False,1589.0,1670.9340627250288,3459.0490084624244
58.0,1571.0,23.0,3365.0,,,False,1571.0,1634.7886928722326,3444.3867596218815
49.0,1473.0,36.0,3323.0,,,False,1473.0,1574.2099296352542,3465.482298707199
74.0,1494.0,26.0,3647.0,,,False,1494.0,1566.9983680249118,3483.460490531642
63.0,1520.0,26.0,3745.0,,,False,1520.0,1647.182837555623,3481.7653501278314
70.0,1544.0,44.0,3780.0,,,False,1544.0,1697.4101196345905,3579.5418812987245
62.0,1564.0,42.0,3731.0,,,False,1564.0,1638.1679483584317,3538.4554990677652
63.0,1608.0,32.0,3373.0,,,False,1608.0,1646.7364455764232,3369.1027067397013
67.0,1756.0,27.0,3508.0,,,False,1756.0,1516.2470300087825,3531.535056106193
62.0,1936.0,25.0,3563.0,,,False,1936.0,1559.11539399611,3629.3390206810113
65.0,1680.0,22.0,3089.0,,,False,1680.0,1663.6123412300624,3376.81464535678
64.0,1749.0,26.0,3416.0,,,False,1749.0,1705.3131100260077,3478.0924209836967
67.0,1641.0,25.0,3282.0,,,False,1641.0,1725.615353638623,3425.648414536414
74.0,1565.0,27.0,3299.0,,,False,1565.0,1628.5450696021921,3376.8296939056722
75.0,1547.0,27.0,3278.0,,,False,1547.0,1653.2944746406913,3418.5528062480284
70.0,1558.0,26.0,3682.0,,,False,1558.0,1634.1254734824715,3516.891013473404
92.0,1564.0,13.0,3601.0,,,False,1564.0,1694.8644460111807,3347.8870562911407
69.0,1541.0,21.0,3617.0,,,False,1541.0,1694.1120429772693,3425.1859747771127
64.0,1625.0,29.0,3427.0,,,False,1625.0,1702.060688032258,3250.1439279831766
82.0,1694.0,28.0,3245.0,,,False,1694.0,1734.8081708995403,3241.250602837335
80.0,1841.0,23.0,3333.0,,,False,1841.0,1589.6416755388204,3355.360986887669
86.0,1975.0,33.0,3347.0,,,False,1975.0,1590.5231937718581,3409.317345556931
77.0,1807.0,23.0,3032.0,,,False,1807.0,1789.3735122635253,3314.503724416237
74.0,1818.0,32.0,3381.0,,,False,1818.0,1772.5896135090236,3442.4562281457493
83.0,1668.0,29.0,3287.0,,,False,1668.0,1754.0075623822202,3430.8672573373533
80.0,1635.0,33.0,3393.0,,,False,1635.0,1701.3873410859962,3473.047332956031
69.0,1587.0,23.0,3287.0,,,False,1587.0,1696.042877346333,3427.9387047398627
84.0,1627.0,22.0,3487.0,,,False,1627.0,1706.4968840539034,3330.635242797871
